0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Yoga for Stress Relief,B000ICLRKW,Yoga For Beginners,B000H8RVSO,A.M. and P.M. Yoga,B00007JME6,Element: Ballet Conditioning,B000WC38BO,Work Out,B000227EMI,Tracy Anderson: Mat Workout,B008DL4JVO,10 Min Sol:fat Blasting Dance,B000GEIRAK,"['venture', 'action', 'crime']"," I have done a few different kinds of yoga over several years.  Every style and every instructor provides something different... which is why I love yoga.  Whatever I need I can always find it in yoga.<br /><br />I felt the need to slow down recently and anything with ""stress relief"" is attractive to me.  I carry all my stress in my neck and shoulders.  I picked this DVD because it had a section just for that purpose.  The ""ease your mind"" list was also appealing.  The routines are effective and they do what they say they will.  Every one that I've done so far ends with a relaxation pose.  Very nice after working through the issues.", Makes me go ahhhhhhhh!
The Chronicles of Riddick,B0002VEWME,Pitch Black,B00005B6NC,UltraViolet,B001GL4KI0,Alien³,B0006BE3S8,Matrix Reloaded,B0000AYLHQ,Æon Flux,B000GYHVFC,Pandorum,B002QW7ALM,"['venture', 'action', 'horror']"," Great Sci Fi movie and story.  As is the case with many sci fi movies, the weaker acting is a bit of a distraction but the solid story and exceptional special effects easily carry the viewer through to the end.  I was tempted to upgrade to Blu-Ray but the widescreen DVD is exceptionally sharp, rivaling SuperBit and THX transfers on the high def screen.  The additional footage of the director's cut definitely adds significance to the story.  If you keep a Sci Fi movie library, The Chronicles of Riddick is a must have.", A must have for your Sci Fi library
The Descent,B000JJ5F0W,Frozen,B0044WZN9I,30 Days of Night,B00111YM5Q,The Strangers,B001D2WU8O,The Hills Have Eyes,B0012U34N2,Dog Soldiers,B00006JY3A,Vacancy,B002EJ1680,"['venture', 'action', 'crime']"," First of all let me say i really enjoyed this movie. Not like a regular slasher. Its very good. I actually seen it at the show. Now the main difference that no one has listed out of all these reviews is, just the ending. I didnt see any more gore than was at show. Something unrated doesnt always mean extra gore or sex. Anyway just the ending is different than one that was seen in US theatres. I wont spoil ending for you if you havent seen, but most know from youtube what its really suppose to be. Anyway pick this movie up and add it to your collection. Its a keeper!", The difference between unrated and regular version
Friends: The Complete Series,B000H6SXMY,Friends,B0002WYRSM,Seinfeld,B000VECAEE,Charmed: The Complete Series,B000R7I43Q,Gilmore Girls: Season 6,B000G1R4SY,Angel - Seasons 1-5,B000BWFWFK,Lost: The Complete Collection,B0036EH3WK,"['venture', 'action', 'crime']"," How can I say this. All the incredible ""Friends"" episodes, all in one box, all packaged in great individual boxes per season, with a guide book included, all for what.. 16 bucks a season!?!? How can you not buy this? I look about at other great series I want to own, and they want 30 bucks a season. 50 bucks a season. Friends wants... 16!<br /><br />Get this today, it brings you into the friends world even if you aren't a huge fan. So many great episodes, and great actors, all packaged in a great full series gift box. Its a no brainer.", A great deal on a great series.
A Prairie Home Companion,B000H6SXYM,Prairie Home Companion,B003Y60CYG,De-Lovely,B007E2TFXK,Beyond the Sea,B0009ETDDW,Neil Young - Heart of Gold,B000F48D00,Bob Dylan - No Direction Home,B000A0GP4K,No Direction Home: Bob Dylan,B005898DDO,"['venture', 'action', 'crime']"," If you are a fan of the NPR radio show by the same name, then you will like this movie.  Just seeing a vision of how the show ""might"" be put together each week on the radio is interesting in itself.  Garrison Keillor's creativity and that of his cast is highlighted in the movie, and the addition of stars of the magnitude of Meryl Streep, Tommy Lee Jones and Lilly Tomlin bring greater interest to the viewer.  I like the movie, but think that those who like the radio show are more likely to appreciate the movie than those who have never heard it.", You Gotta Love Garrison
The Da Vinci Code,B000I2KJR4,Angels & Demons,B002ZPJ78E,National Treasure,B0008JFMF6,The Golden Compass,B0013TO3HS,Gospel of John,B0006Q93ZG,Luther,B0002C9D9K,One Night with the King,B000JJSJO6,"['venture', 'action', 'crime']"," I read The Da Vinci Code and could not put the book down and the awesome thing was that I was reading it while studying abroad in France and it added to the mystery.  I then watched the movie and was really disappointed.  I hated how they cut out the library scene and had them search for Alexander Pope on  a bus, using a stranger's phone to access the internet.  Huh?  I did like the albino, though.  His performance was probably the best.  To get the full effect of what Dan Brown CREATED, read the book, please!.  If you just watch the movie, you will miss the wonder and creative work of Dan Brown.  The movie did the book little, if any, justice.", Loved the Book! The movie...not so much
Pineapple Express,B001J9KJ3O,Superbad,B000WZEZGS,Step Brothers,B001GF8WPS,The Other Guys,B0045ODPLS,Hangover,B003VQZ4OW,21 Jump Street,B0081L391C,Tropic Thunder,B001H5X7IE,"['venture', 'action', 'crime']"," If you love modern, smart, unpretentious, goofy funny movies with natural dialogue, sweet loving relationships between guys and a MORAL to the story, then you should love Pineapple Express, and all Judd Apatow's movies (40 Year Old Virgin, Superbad, Knocked Up). James Franco is great. In soulless Hollywood, here are these guys, writing, directing, producing, designing, and acting in movies they really care about. It's their art, and it's really, really good. A+. Can't wait to see what Team Apatow comes up with next.", Great Apatow Joint
Forrest Gump,6305587744,A Beautiful Mind,B000FVQLQQ,Good Will Hunting,B006RXPT82,Una Mente Brillante,B0018S21VY,Cast Away,B0026NZR98,Being There,B001IHJ974,To Kill a Mockingbird,B000ID37RM,"['venture', 'action', 'crime']"," Yesterday I've seen this movie for the first time and it automatically became one of my favorites.<br />Tom Hanks plays Forrest Gump, a man always oppressed by others because of his disabilities, but to be oppressed and with disabilities doesn't mean you have to turn into a loser and forget about the miracles life offers in daily basis. Forrest, tells the best example of all by sharing his stories from the bus stop bench he's sitting on.<br />This movie, will make you laugh out loud but there are times when this movie makes you sob silently too.<br />There are no such words as to describe what this movie really is.<br />You must see it yourself if you didn't so far.", WOW
Zombi 2,B00009WVNT,Zombie,B0060GUZRQ,Dawn Of The Dead,B000BQJO1Y,Day Of The Dead,B000056BY1,Cannibal Holocaust,B001B187L6,Return of the Living Dead,B00006JY24,Land of the Dead,B000B2YR88,"['venture', 'action', 'horror']"," This is Lucio Fulci's first directorial work in horror. His experience in slapstick comedy and giallo thrillers shines through here. He crafts a film that shifts from bright, beautiful and tropical to gloomy and death-soaked.<br />While its remembered for its gore and gruesome zombie makeup, its real strength is in its slow, methodical pacing and suspenseful scares. The actors do a great job, but the terrible dubbing makes the dialogue very cheesy. I'm disappointed to find that the DVD version of this movie has brightened up the print and the dark, gloomy atmosphere is lessened. So don't throw away your old versions of this movie just yet.", Masterpiece of the Zombie genre
Music and Lyrics,B000PGTETW,,B00004R79Z,27 Dresses Blu-ray Repackaged,B0015I2UB8,The Wedding Date,B0009OL7ZO,50 First Dates,B000EZ7ZXQ,Once,B000X1Z0BU,Hitch,B000957O82,"['venture', 'action', 'crime']"," I usually have to see every Romantic Comedy that comes out - it's basically the trade-off/agreement I have with my wife so that I can see every Martial Arts movie that comes out. Usually I will simply ""tolerate"" the Romanctic Comedies, but this is one of those exceptions where I really dig the movie. From the 80's style music to the parody of current pop acts, the soundtrack alone is worth the viewing. Hugh Grant is a believable (and funny) ""80's Has Been"", and Drew Barrymore (who I normally don't care for) is actually pretty good in this one. It's heavy on the humor and light on the drama which is nice. I would definitely recommend this movie.", Much better than expected...
Poseidon,B000HZGNH2,2012,B003AOPYTK,Day After Tomorr+jumper Df-sac,B007PM205O,The Day After Tomorrow,B001BTZVEO,"Day After Tomorrow, The",B0007QS21G,Sunshine,B000ZHS3E8,Frozen,B0044WZN9I,"['venture', 'action', 'crime']"," Wolfgang Peterson has finally returned to his claustrophobic, watery roots with a remake of The Poseidon Adventure.  Carnage abounds after a rogue wave upends the vessel, and passengers are variously drowned, crushed, fall, burned, and electrocuted.  The cast is a good mix of veterans and newcomers like any good football team, with Kurt Russel at the helm, taking the likes of Josh Lucas and Jacinda Barret under his wing.  This is a great example of the disaster genre, with plenty of good-looking CGI and big-bang pyrotechnics.  Also, Kurt Russel pulls off the best piece of acting in his long career, a particularly good drowning.", A Worthy Remake
Breaking Bad: Season 5,B0060MYL3E,Breaking Bad: Season 4,B0058YPG2K,Breaking Bad: Season Four,B0058YPG1G,Breaking Bad: Season 1,B001DJLCRC,Sons of Anarchy: Season 4,B0058YPGSY,Dexter - Season 4,B003ULP9OS,Dexter: The Fourth Season,B003ZW3C3M,"['venture', 'action', 'crime']"," Breaking bad is great because it is unpredictable and does not follow a formula. It's full of ""I cannot believe they just did that"" moments. But the acting is the main draw. It has ruined almost all every other TV experience for me because I see actors playing parts. In Breaking Bad, Brian Cranston IS Walter White and Aaron Paul IS Jessie Pinkman. Wrong on so many levels but THE BEST as far as acting and entertainment that is out there right now. The story really is unbelievable but I BUY IT,  hook, line and sinker!  It's that good.", One of the best dramas out there.
Superman Returns,B001OMJGD0,Superman,B0012QVJXS,Smallville: Season 8,B001FB4W02,Smallville: Season 4,B004132I4I,Smallville: Season 9,B002JVWRDQ,Smallville: Season 6,B000R206FK,Smallville: Season 7,B000X5SMXY,"['venture', 'action', 'crime']", Im not a big Superman fan other than the first one with Christopher Reeve. Not into the comics or other  tv shows so I was surprised at how well done this movie turned out to be. Brandon Routh does a remarkable job of handling Clark Kent/Superman and has great chemistry with Kate Bosworth. There are about a dozen absolutely extraordinary scenes in this film that no other film can touch.<br /><br />I felt I would enjoy this movie but I had no idea it would be my favorite film of the year. Simply amazing., Great movie
Complete Adventures of Indiana Jones,0792158288,Indiana Jones - Giftset,079215827X,Jurassic Park Adventure Pack,B000BCE918,Jurassic Park Trilogy,B00005QCYC,Jurassic Park Ultimate Trilogy,B0057RCFQS,Star Wars,B000057VOE,Return of the Jedi,B00008F22G,"['venture', 'action', 'crime']"," I'm not much of a fan of &quot;Temple Of Doom&quot;, but I think &quot;Raiders Of The Lost Ark&quot; and &quot;Indiana Jones and The Last Crusade&quot; are excellent.  The 4th disc contains extras like trailers and documentaries (which are really well done -- check out Alfred Molina, the guy with the spiders in &quot;Raiders&quot;: funny guy, and now he's Doc Ock in Spider-Man 2).  The films all look very good and the packaging is nice as well.  It would be nice to have commentaries for the films, but from what I hear Spielberg doesn't like to do them, and they would've just repeated what was in the documentaries on disc 4.  Great set, highly recommended.", Can we call these &quot;classics&quot; yet?
The Thin Red Line,B000I9VZ0W,Flags of Our Fathers,B000O77QDI,Letters from Iwo Jima,B000R3E2WW,Jarhead,B000E1XOHQ,The Pacific,B001VNB54A,We Were Soldiers,B000J159N8,Longest Day,B00001YXDF,"['venture', 'action', 'crime']"," I love war movies, particularly, WWII movies. And let me just say, this is the absolute worst movie I've ever seen in any genre. It's been several years since I watched this movie and I still regret the time in my life I spent in the theater watching this film. I could have spent the time doing anything else. I could have gotten a root canal in half the time and it would have been less painful. The director, not so delicately, drives home his politics beginning to end. With that all said... if you want to watch a political-hack piece of extreme anti-war rhetoric then this is definitely the film for you.", Wish I could give it no stars.
Thor,B005H9B44A,Green Lantern,B004EPZ07K,Iron Man,B0044ZYJQS,X-Men: First Class,B004LWZW4C,X-Men Origins: Wolverine,B002P8ZOUQ,Hellboy,B001F7MSFM,Immortals,B007H7XJD4,"['venture', 'action', 'crime']"," Thor could've been a mess, considering it's a tricky property to pull it off. However, Marvel Studios and Kennet Brannagh made an amazing job; the cast is terrific, with Chris delivering everything you could expect from the God of Thunder and Hiddleston giving us the best Marvel villain brought to the screen so far (do you doubt me? See the Avengers!). Great FX, specially the ones about Asgard. I wish it would've spent less time on Earth, which definitely the movie's biggest flaw.<br />Anyway, highly recommended!", Excellent!
Mamma Mia! The Movie - Gimme! Gimme! Gimme! DVD Gift Set Version,B002IW8V0E,Mamma Mia! The Movie,B0068FZ0ZG,Burlesque,B002ZG9774,Rent,B000E111XK,Hairspray,B002D0L0R2,Les Miserables,B004J64QSI,Across the Universe,B000ZBEOF6,"['venture', 'action', 'crime']"," I grew up listening to ABBA and always loved the songs. Now I own this movie and the first time I watched I sang along to all the songs! I've had people tell me that the plot was cheesey.. Well I disagree! I LOVED this movie!<br />In fact I have watched it over and over! To me it's right up there with The Sound Of Music! I mean come on, who can honestly say that Mama Mia is not better than The Music Man?! Musicals are meant to be fun and this is truly fun, funny and romantic all at once.<br /><br />Peirce Brosnan and Meryl Streep make a great couple and for those of who can understand the kind of relationship between these two characters Mama Mia is AMAZING!!!!", For thos who Truly enjoy something fun and familiar.
The Golden Compass,B0013TO3HS,The Da Vinci Code,B000I2KJR4,Eragon,B002NJWHHA,The Last Airbender,B00463GPHY,Atlas Shrugged Part 1,B0064J6RU8,Atlas Shrugged: Part One,B005N4DP1E,One Night with the King,B000JJSJO6,"['venture', 'action', 'crime']"," When you read a book, your imagination displayed a vision in the eyes of your mind. Evolutionary technological creativity, via Computer Science today, to some degree, has taken our imagination, to a factual visual display. We now see what the Big Bad Wolf looks like. This movie is only a step/leap forward to old/young viewers, as to what the now/future holds for them. Very simply, here is a Very Entertaining Movie, that also delivers a Moral Message of Good over Evil. As an Old Coot, I thoroughly enjoyed it very much.", Entertaining Fantasy
Some Like It Hot Blu-ray,B004TJ1H1E,Some Like It Hot,B00005Q61Q,Sunset Boulevard,B003PVPXOE,Sunset Blvd.,B00007KFOF,The Band Wagon,B0007YXPKQ,North By Northwest,B002W7J3SO,All About Eve,B00569I56Q,"['venture', 'action', 'crime']"," The reason I gave the product 4 stars is because it was listed as like new but it was more like good or very good.  The thing that holds the first disc was broken and detatched, and there was a small hole on the cover.  The movie however, is great. Jack Lemmon and Tony Curtis make a perfect comedic combination along with the sexy and voluptuous Marilyn Monroe.  It holds up very well for a comedy from 1959.  It just shows no matter how much audiences humor has changed, men dressing up as women will always be funny.  This is not just one of the greatest comedies ever, it is one of the greatest movies ever and deserves 5 stars.", One of the funniest films ever
The Monster Squad,B002NPY7FO,The Goonies,B005KQVDH8,Howard the Duck,B00004RNVT,Hocus Pocus,B0060D3BWK,Ghostbusters,B000060K4O,Lost Boys,B00004CQYO,E.T.,6301932420,"['venture', 'action', 'epic']"," I have been waiting for this movie, as well as alot of others, to come out on DVD. I remember how cool this movie was as a kid and still as an adult how cool it is. Too bad it took so long for it to come out on DVD, just like alot of other 80's horror movies.<br /><br />Nothing like seeing the Universal Monsters in a different light, even a different form as they are in this film, They still feel like the old monsters but with a new face.<br /><br />The extra are a nice touch since I really enjoy the behind the scenes as well as the movies themselves.<br /><br />We are the Monster Squad!", Classic From the 80's
Marley & Me,B001REZM6U,Marley and Me,B001REZM6K,Eight Below,B000F4PDFI,Up,B000KNJJJA,We Bought A Zoo,B007R0XM88,"Crazy, Stupid, Love",B003Y5H574,Click,B000JJJF4O,"['venture', 'action', 'crime']", I bought this movie not ever seeing it before....<br />I didn't realize it would turn out to be a real tearjerker. It is a true to life story of the human experience and the bond that can be built with your animals. Marley was a bad boy but he was truly loved and cared for and was part of the family. I cried through the last almost half hour of the movie because it was so true to life and so touching at the same time. I do not regret watching or buying this movie but will not be able to watch it  a bunch as I can relate to the scenarios. Overall though I wonderful movie., Touching movie about the bond you can have with animals
Resident Evil: Afterlife,B004DTXJ4S,Resident Evil,B005JAUF0G,Resident Evil: Extinction,B000YPUFAG,Resident Evil: Apocalypse,B000I8ES70,Resident Evil DVD,B000EGDAJI,Underworld: Awakening,B003Y5H5F6,Ultraviolet,B000FGGE6I,"['venture', 'action', 'crime']"," The Resident Evil movies have unfortunately in my opinion got worse and worse. I watched this in the theater and the 3D at the theater just didn't do it for me. I was actually disappointed I had spend the time to watch it. I decided to give it a go again since I heard the 3D was really good on this version. I must admit the home theater 3D made this a totally different experience and I enjoyed the movie way more than when I watched it in the theater. The storyline is not that great but what kept me on my seat was all the action, suspense and everything unfolding in a 3D world. Made me feel like I was there at times. A 3 star rating for the movie but the awesome 3D bumps it up to 4 for me.", 3D showpiece
The Sound Of Music,B0069GZUKY,Sound of Music,B00008F43H,My Fair Lady,B00011D1OA,West Side Story,B0071U3KCW,Mary Poppins,5556167281,La Bella Durmiente,B000092T54,Chitty Chitty Bang Bang,B000WC39ZE,"['venture', 'action', 'crime']"," This is a definite all time classic.I think what realy makes this movie the classic that it is,is the very good script and fine acting by all the characters.I'm going to hate to say it but the music in this movie,isnt all my cup of tea.While its kind of ok,some of it never realy hit the spot with me.I enjoy watching the actual movie,and they just happen to be in a bad place when war is breaking out.It must have been awful for so many peoples dreams to be destroyed by war.They are in the thick of it as they try to escape the wrath of the German army.", good movie
Star Wars: Episode IV - A New Hope,B000FQJAIM,Star Wars,B00008F21S,E.T.,B00008F22G,Indiana Jones - Giftset,079215827X,Star Trek - The Motion Picture,6300216802,The Ultimate Matrix Collection,B000OPPBEQ,"E.T.,The Extra-Terrestrial",B009GN6DT4,"['venture', 'action', 'crime']"," Despite the critics in fan forums, magazines and web sites, the original vesion is an aceptable copy of the movie in digital format.<br /><br />If you have an advance equipment and look for a top quality probably you'll gET disapointed, but if mantain the integrity of the original movies<br /><br />is your priority, this is the bestcopy that you coud find.<br /><br />The 2.0 sound is not the best but is not bad.<br /><br />Latin American Costumers WARNNIG: this vesion does not have spanish subtitles and the spanish track is spain/eurepe version. May the force be with you always.", FROM A VENEZUELAN STAR WARS FAN
Heroes - Season 1,B000QTD5TS,Heroes - Season One,B000QDLSR0,Heroes: Season 2,B008CN0958,Lost: Season 1,B00139YA4O,Fringe: Season 1,B001MS7IBS,Lost: Season 2,B001AQMBKA,Lost: Season 4,B0018CWEZ8,"['venture', 'action', 'crime']"," When I first saw Heroes, I knew that it would be a good series. It tapped into the powers of the heroes as well as the weaknesses. I always thought it was brilliant how the writers only let the viewer realize the villians deep into the season. I will get season 3 of heroes and maybe season 4, however the downside was the last season. I could not follow it, and that is the hallmark that the writers and producers have run out of good story lines. For at least 3 seasons heroes kept my attention and wondering whats next", Innovative Television
Adventures of Robin Hood,6304111258,The Adventures of Robin Hood,B00005A1VG,Robin Hood - Prince of Thieves,630440607X,El Cid,6302388007,Excalibur,630027179X,Ten Commandments,B000CNESNA,Ben Hur,B00004CI8G,"['venture', 'action', 'crime']"," I had forgotten how much fun it would be to watch this Hollywood classic again after so many years. It's beautifully produced and acted by it's cast ensemble. Can be a little silly at times but, what the heck, I had lots of fun throughout watching it.<br />Errol Flynn is in a fabulous athletic shape wearing his Robin Hood's tights and Miss De Havilland just looks gorgeous in technicolor.<br />The DVD itself is a very decent version of BluRay without many of the grainy artifacts I encountered on others BluRay's titles purchased recently.<br />So, if you just wanna have fun and be delighted with the extravagantly colorful scenery os Sherwood, the price is just right.", Timeless Fun
Zombieland,B002WY65W4,Shaun of the Dead,B000R8YC3G,Tucker & Dale vs Evil,B006FTC6ZC,Cabin In The Woods,B008WB33LW,Diary of the Dead,B001CDLARQ,Land of the Dead,B000B2YR88,Hot Fuzz,B000RJO578,"['venture', 'action', 'crime']"," Zombieland ia not just a zombie movie. It tells a story of a young man's quest for identity; his effort to find who is is and where he belongs in life. It just happens to be told in a world where zombies have all but completely taken over America, making every day, every hour, every move, a vigilant struggle for survival. It also happens to be cleverly and irreverantly funny. Take National Lampoon's Vacation, combine it with The Breakfast Club, and mix it all into the flesh-eating, blood-dripping world of zombies... and that's what you get with this intelligent and hilarious movie.", More than a zombie movie
The Abyss - Special Edition,B00003Q43G,Abyss,B00004RE0J,Alien³,6304722303,Das Boot,B004SB60LK,"Terminator, The",B000065G6K,Apolo 13,B0015QQKPC,Hunt for Red October,B00005Y7SC,"['venture', 'action', 'crime']"," This is probably the first movie I have seen with underwater aliens in it, plus the correct science in portraying underwater pressure and deep water darkness, excellent science prediction.<br /><br />I give this movie 5 stars because of the well done ending. Most science fiction movies start good but completely mess up the ending, but not this one (very touching). Also, the villain is very believable, considering he is a navy seal and very pissed off. Overall, very good movie, excellent special effects (considering it was made in the 80's) and superb acting.", Underwater UFOs (Amazing)
"The Long, Long Trailer",B000EHQU08,Christmas Vacation,B00004RM5T,"Planes, Trains & Automobiles",B00005NJJG,"Planes, Trains And Automobiles",6300989003,Arsenic and Old Lace,0790743949,Little Rascals Collection,B0001ZZ4PA,Jim Gaffigan: Beyond The Pale,B000NZ412U,"['venture', 'action', 'crime']"," ""The Long, Long Trailer"" has always been one of my very favorite movies. It is so funny and colorful and the type of movie you can be proud to watch with your family. Lucy and Desi always worked wonderfully together and this movie is no exception. There are so many funny scenes to watch out for. There are also some very touching scenes and some musical numbers thrown in for good measure. Included on the DVD is the original trailer (a trailer within a trailer) and 2 MGM shorts. If you liked the trailer you'll love the movie :).", I love Lucy & Desi
North and South,B000AYEL6U,Cranford,B00140PK6O,Jane Eyre,B000LPQ6DE,Little Dorrit,B001PU8N0I,Persuasion 2007,B000YIGNKE,Bleak House,B001P7YDA0,The Inheritance,B00062IZ0Y,"['venture', 'action', 'crime']"," Being a big fan of Jane Austen and any movie based on her works I expected North and South to be a cut below.  I was wrong.  The intensity of feelings and the depths of passion in this movie have sparked an interest in the novels of Elizabeth Gaskill.  There is much prejudice at play in the world they inhabit... the bucolic south verse the hardscrabble north, the old impoverished wealth verses the new industrial rich, the union workers verses the factory owners, but most especially bad first impressions verse growing respect.  What a beautiful way to watch two people set aside their pride, grow to truly love each other and more importantly learn to value each other.", Pride and prejudice and then some
Rise of the Planet of the Apes,B004LWZW4W,Tron: Legacy,B004K4IZ54,Planet Of The Apes,B00008G8M5,Pandorum,B002QW7ALM,Terminator: Salvation,B002LSI0N8,Planet Of Apes:tl Colle Bxcbsm,B000EBIOP8,Terminator 4: Salvation,B002RVCD0U,"['venture', 'action', 'crime']"," When I went to see the movie at the theatre I had my doubts, 1.The bad remake done by Tim Burton of the original Planet of the Apes movie and 2.It opened in August usually saved for movies just not quite good enough to go head to head with the blockbusters opening earlier in the summer. But I was suprised, this was a very good movie, a lot of homages to the original Planet of the Apes movie, I noticed on the Blu Ray extras I didn't catch them all. There was one glaring plot hole at least for me that stood out (I won't say due to maybe a spoiler), but overlooking that I would recommend seeing this. If they make sequels at the same quality will look forward to them.", Great start for a reboot of the apes series.
Jillian Michaels: Shred-It With Weights,B003TJM69C,Jillian Michaels Ripped in 30,B004CRR9IS,Work Out,B0015D20FY,Shrink Your Female Fat Zones,B00009YXET,Ls: 5 Mile Fat Burning Walk,B001F12ISU,Element: Ballet Conditioning,B000WC38BO,10 Min Sol:fat Blasting Dance,B000GEIRAK,"['venture', 'action', 'crime']"," This was actually my very first JM DVD, purchased by accident while trying to buy the 30 day shred. 4 months later I have a sizeable Jillian library, and this one is collecting dust.<br /><br />The beginner level workout never really did much other than make me a little short of breath. I also had zero kettleball experience, so I felt like I was spending wayyy too much time worrying about my form/etc rather than concentrating on getting the most out of the moves.  I felt like some of the exercises were almost impossible unless you had her specific kettleball.", Not Her Finest
Dance with Julianne: Cardio Ballroom,B002LSI1GY,10 Min Sol:fat Blasting Dance,B000GEIRAK,Element: Ballet Conditioning,B000WC38BO,Work Out,B008DL4JVO,Hip Hop Abs DVD Workout,B001M508N6,The Perfect Pregnancy Workout,B000227EMI,Jillian Michaels Ripped in 30,B004CRR9IS,"['venture', 'action', 'crime']"," ""Dance with Julianne"" is my first workout DVD and I must say that I really like it.  It's a good, intense, cardio workout, especially for those who need structure and motivation. Although I am an athlete at school (college), it's nice to have something to help stay in shape over summer break, and ""Dance with Julianne"" does just that. It's a good half hour routine that gets your heart rate up and running.<br /><br />I do have a background in dance, but it's minimal, so the moves Julianne goes through are not too difficult, and she's motivating without being annoying (it's like she tells me to keep going just when I want to give up!)<br /><br />Definitely a good investment!", Fun and High Energy!
Wallace & Gromit in The Curse of the Were-Rabbit,B000B83YWM,Ratatouille,B000VFH5Z2,Fantastic Mr. Fox,B001QOGYBI,Over the Hedge,B000H7JCKA,Despicable Me,B002ZG97E2,The Incredibles,7883704591,The Triplets of Belleville,B00011FXHS,"['venture', 'action', 'crime']"," Wallace & Gromit - The Curse of the Were-Rabbit is just plain old clean fun that the entire family will enjoy. The story concerns Wallace and his dog Gromit, who live in a village obsessed with growing large vegetables for the annual fair and they operate a humane solution pest solution. When Wallace tried to change the rabbits so they don't like vegetables, the plan backfires and creates a monster. The movie is very entertaining. I really enjoyed Gromit, although he never speaks, his facial expressions are funny as heck. I am 28, and i enjoyed this movie. I would highly reccomend it for anyone, and it is something the entire family can enjoy."," Fun, Clean, Humor for the Entire Family"
Planet Terror,B001F0TM5S,Grindhouse: Planet Terror,B002I7IC58,Death Proof,B001F0TM5I,Machete,B004EJ1GB0,Piranha,B002ZG98KK,From Dusk till Dawn,B004S699LI,Land of the Dead,B000B2YR88,"['venture', 'action', 'crime']"," Planet Terror is a homage to over the top, ultra violent, super sexed Grindhose movies from the 70's and 80's.  Frank Rodriguez, who has done Desperado, Sin City and other action flicks with a distinct style produce this movie which is entertaining in every way.<br /><br />Don't take this movie seriously and you can laugh when the scientist collects the testicles of his enemies.  Yeah, I know, testicles.  I liked this movie alot and the special features are worthwhile but buy this dvd for the movie first.  Special features on dvd's only have so much value after its first viewing.", Planet Terror > Death Proof
Mr. And Mrs. Smith,B001GJ7E9E,Mr. & Mrs. Smith,B000ARA4Y0,Mr. and Mrs. Smith,B000EYK4KI,Knight and Day,B0045ASBNE,Wanted,B001GKJ2E8,Salt,B004BEMC6G,This Means War,B0085772LA,"['venture', 'action', 'crime']"," Some of the reviews about this movie simply made me write my own. And the most important thing I want to say is: relax, people! Have fun! If you want to feel smart and philosophical, pick up Kant or Schopenhauer and do some reading. ""Mr. and Mrs. Smith"" is a movie intended to make the audience laugh and hold their breath from time to time, but in a relaxed way. It's a light movie, but a well made one, with witty lines and gorgeous actors. I strongly recommend it to all who remember that the whole movie business started out as ENTERTAINMENT.", It's only fun
The Man from Nowhere,B004H2IMSO,The Man From Nowhere,B004R10MA6,Ip Man,B003INBNXO,Taken,B002BI6SMI,Warrior,B000XS1SLO,Ong Bak Thai Warrior,B000BUYPKK,Oldboy,B0029SCFE0,"['venture', 'action', 'crime']"," But doesn't mean that it can't be good!<br /><br />It's an action/suspense movie at the core with the prototypical super-mysterious, loner, down-and-out, former Navy Seal/Delta Force/SAS/etc., etc.  It's even got the bunch of second-rate, but highly determined cops, always one step behind unraveling loner guy and giving us the background narration.  Of course, anyone could see the ending coming a mile away as well.  It's formulaic, for sure, but still well shot, well acted, and delivers some seriously slick close combat fight scenes which are rarely choreographed and executed so well as they are in this movie.<br /><br />Don't skip on this one!", Total Rip Off of Man On Fire...
Supernatural: Season 3,B000X5SPBI,Supernatural: Season 2,B004PHSTY8,Supernatural: Season 4,B001FB4W0C,Supernatural: Season 1,B000FP2OPY,Supernatural: Season 5,B002JVWRAO,Supernatural: Season 6,B003L77GGU,Lost: Season 1,B00139YA4O,"['venture', 'action', 'crime']"," Season three picks up right were season two left off. The brothers are trying hard to clean up the mess they made and to keep Dean alive. We also get to follow Sam as he perhaps inches further to the dark side. In terms of story line season three does not dissapoint; lots of angst, drama, and those pained long looks we true fans love. Season three also has what is probably the best comedic episode of the entire series so far ""Ghostfacers!"". The down side? The extras are sparce at best and there are fewer episodes. This was writter strike season and i'd say it affected the bonus material. Thankfully the season is meaty enough that the faux pas is forgivible.", Supernatural always super
The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,B0002849HA,W.,B001EJGQTU,Why We Fight,B000FBH3W2,War: A Ken Burns Film,B0028O9V8S,War: Ken Burns,B001RQ8E36,The War: A Film by Ken Burns,B007BMIFI4,The World at War,B00004Z2YF,"['venture', 'crime', 'action']"," JFK & LBJ Secretary of Defense Robert Strange McNamara comes clean in this up close, at times brutally frank and touching documentary, brilliantly produced by Errol Morris. McNamara's book, 1995's ""In Retrospect"", does a lot to set the record straight...but that is just a book. Here, before our very eyes, is the man, the soul, the heart of the Vietnam war, telling us what a mistake it was; all his faults, all his triumphs, all his regrets cascade forward in a torrent of emotion, lucidity, and tears. An absolute must have.<br /><br />Vince Palamara", Outstanding documentary by Errol Morris
